time/fps,train/adaptive_beta,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
0,0.5,2368,37,13493,360,0.0043583484,0.0015625,-10.299751377105713,-1.1920928955078125e-07,0.0003,0.2,676.6396484375,-0.023245318420231344,1369.559423828125,-322.04509810810805,59.37837837837838,,
0,0.5,2432,38,13724,370,0.007815466,0.021875,-10.304326057434082,0.0,0.0003,0.2,891.8613891601562,-0.03415581006556749,1800.89150390625,-318.7721555789473,58.86842105263158,,
0,0.5,2496,39,13924,380,0.0055082235,0.003125,-10.31018123626709,0.0,0.0003,0.2,934.3558349609375,-0.030259561724960804,1885.7853515625,-320.3520066666666,59.48717948717949,,
,0.5,2560,,,390,0.008953649,0.0203125,-10.310011768341065,0.0,0.0003,0.2,621.3394165039062,-0.03709593750536442,1258.5140991210938,,,-184.26409400000003,67.0
0,0.5,2560,40,15462,,,,,,,,,,,-325.55675653658534,60.36585365853659,,
0,0.5,2624,41,15676,400,0.010634016,0.034375,-10.307589912414551,1.1920928955078125e-07,0.0003,0.2,613.9461059570312,-0.03849115017801523,1242.9158447265625,-325.55675653658534,60.36585365853659,,
0,0.5,2688,42,15893,410,0.005417209,0.0140625,-10.294013786315919,0.0,0.0003,0.2,867.7583618164062,-0.021860991418361665,1752.3411254882812,-325.3084006190476,60.23809523809524,,
0,0.5,2752,43,16115,420,0.004858859,0.009375,-10.285115337371826,0.0,0.0003,0.2,641.9946899414062,-0.02628498263657093,1299.8377807617187,-323.90648734090905,60.0,,
0,0.5,2816,44,16325,430,0.0083149895,0.0171875,-10.289100456237794,-1.1920928955078125e-07,0.0003,0.2,694.870361328125,-0.03951118625700474,1405.634228515625,-311.96335136956515,57.95652173913044,,
0,0.5,2880,45,16546,440,0.012242689,0.0453125,-10.280671405792237,1.1920928955078125e-07,0.0003,0.2,349.15093994140625,-0.042538024671375754,712.4571350097656,-310.42634051020406,57.91836734693877,,
0,0.5,2944,46,16744,450,0.009475397,0.0328125,-10.262585544586182,0.0,0.0003,0.2,482.48370361328125,-0.03564129136502743,979.7202270507812,-310.42634051020406,57.91836734693877,,
0,0.5,3008,47,16964,460,0.0067095086,0.015625,-10.259065246582031,0.0,0.0003,0.2,627.986083984375,-0.02570347171276808,1272.1893188476563,-310.42634051020406,57.91836734693877,,
,0.5,3072,,,470,0.006769276,0.0125,-10.281765460968018,0.0,0.0003,0.2,719.7969970703125,-0.029392245598137377,1456.1077880859375,,,-60.361091,80.0
0,0.5,3072,48,18505,,,,,,,,,,,-310.42634051020406,57.91836734693877,,
0,0.5,3136,49,18708,480,0.0046552652,0.003125,-10.30087423324585,1.1920928955078125e-07,0.0003,0.2,686.4494018554688,-0.02641710117459297,1389.2278930664063,-310.42634051020406,57.91836734693877,,
0,0.5,3200,50,18919,490,0.0066076126,0.0171875,-10.292542457580566,0.0,0.0003,0.2,679.6285400390625,-0.03589173853397369,1375.4849487304687,-316.5151586346153,59.21153846153846,,
0,0.5,3264,51,19117,500,0.011700058,0.040625,-10.276179599761964,0.0,0.0003,0.2,565.133544921875,-0.04812415018677711,1145.6884765625,-318.2753670188679,59.698113207547166,,
0,0.5,3328,52,19347,510,0.005556129,0.015625,-10.271353340148925,-1.1920928955078125e-07,0.0003,0.2,611.3367919921875,-0.029225636273622513,1238.65390625,-316.5057442777777,59.388888888888886,,
0,0.5,3392,53,19560,520,0.008540546,0.0234375,-10.264152812957764,-2.384185791015625e-07,0.0003,0.2,674.566650390625,-0.03974997289478779,1364.7819458007812,-316.5057442777777,59.388888888888886,,
0,0.5,3456,54,19789,530,0.0038926182,0.0046875,-10.247033214569091,1.7881393432617188e-07,0.0003,0.2,780.3450927734375,-0.023434029892086983,1577.1720703125,-318.1367261428571,59.857142857142854,,
