time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/clip_range,eval/mean_ep_length,eval/mean_reward
47496,13440,0,-128.26080429,32.5,105,0.03521893,636.6123657226562,-9.72988543510437,1046.5171875,-3.0994415283203125e-06,-0.07534856428392231,1040,0.0003,0.20546875,0.2,,
47724,13568,0,-125.09020470000002,31.94,106,0.043302897,475.2529602050781,-9.697656726837158,1074.2654876708984,-2.5033950805664062e-06,-0.07853385834023356,1050,0.0003,0.2375,0.2,,
47958,13696,0,-125.80175272999999,32.03,107,0.13268709,311.40966796875,-9.756649827957153,589.7466247558593,-3.5762786865234375e-06,-0.10739336088299752,1060,0.0003,0.55390625,0.2,,
,13824,,,,,0.012303218,949.25537109375,-9.852748012542724,1638.8201782226563,-1.0728836059570312e-06,-0.025211156997829675,1070,0.0003,0.07109375,0.2,25.0,-26.048583200000003
48544,13824,0,-127.16332687000002,32.28,108,,,,,,,,,,,,
48798,13952,0,-123.99359813999999,31.43,109,0.0048016487,757.9144287109375,-9.773566436767577,1405.7060791015624,-1.430511474609375e-06,-0.027894969424232842,1080,0.0003,0.009375,0.2,,
49042,14080,0,-122.00079254,30.93,110,0.008494428,463.4297180175781,-9.729935884475708,991.4577575683594,-1.7881393432617188e-06,-0.03531889598816633,1090,0.0003,0.03203125,0.2,,
49281,14208,0,-122.58667717,30.98,111,0.06836733,517.7509155273438,-9.694886112213135,1068.825830078125,-2.6226043701171875e-06,-0.09779294254258275,1100,0.0003,0.34609375,0.2,,
,14336,,,,,0.008098686,735.29736328125,-9.851647186279298,1467.0210021972657,-2.384185791015625e-06,-0.025892238970845936,1110,0.0003,0.0421875,0.2,2.0,-6.2978362
49559,14336,0,-119.42922751,30.14,112,,,,,,,,,,,,
49804,14464,0,-118.11831756999999,29.76,113,0.04344723,410.9246826171875,-9.81338186264038,910.3273284912109,-2.384185791015625e-06,-0.06986781535670161,1120,0.0003,0.18203125,0.2,,
50071,14592,0,-116.06954658999999,28.98,114,0.0035967412,1110.5439453125,-9.903606986999511,2530.865856933594,-1.0728836059570312e-06,-0.011620586551725865,1130,0.0003,0.0046875,0.2,,
50331,14720,0,-114.74771832,28.41,115,0.010036886,806.707275390625,-9.844800662994384,1674.1211547851562,-7.152557373046875e-07,-0.03418935062363744,1140,0.0003,0.034375,0.2,,
,14848,,,,,0.009095134,707.1876220703125,-9.818685865402221,1399.680645751953,-1.1920928955078125e-07,-0.031181033607572316,1150,0.0003,0.02421875,0.2,49.8,-95.8793194
51289,14848,0,-111.01617098999999,27.22,116,,,,,,,,,,,,
51528,14976,0,-110.40907505999999,27.22,117,0.006479462,816.4091796875,-9.785999011993407,1687.1257690429688,-1.430511474609375e-06,-0.027293962333351372,1160,0.0003,0.01796875,0.2,,
51779,15104,0,-110.79177307,27.3,118,0.026401697,498.8356018066406,-9.634123420715332,1025.3608856201172,-2.2649765014648438e-06,-0.06391157964244484,1170,0.0003,0.15703125,0.2,,
52054,15232,0,-108.08549407000001,26.61,119,0.003898853,1016.2105712890625,-9.705309391021729,1884.9420166015625,-1.1920928955078125e-06,-0.013791726971976458,1180,0.0003,0.01171875,0.2,,
,15360,,,,,0.14462115,445.3778381347656,-9.550242280960083,913.1794586181641,-2.384185791015625e-06,-0.07392154671251774,1190,0.0003,0.4046875,0.2,67.0,-100.91099260000001
53106,15360,0,-108.69551298,26.86,120,,,,,,,,,,,,
53383,15488,0,-110.55780544000001,27.14,121,0.10063725,542.2576904296875,-9.5327476978302,1039.6562194824219,-1.9073486328125e-06,-0.07665876252576709,1200,0.0003,0.43046875,0.2,,
53642,15616,0,-108.47895908000002,26.61,122,0.061643578,494.548583984375,-9.63059663772583,1015.4587280273438,-1.9073486328125e-06,-0.08829812072217465,1210,0.0003,0.40078125,0.2,,
53915,15744,0,-110.99942814000002,26.94,123,0.0041602924,944.47607421875,-9.720680761337281,1812.6387573242187,-1.430511474609375e-06,-0.016692569106817247,1220,0.0003,0.0109375,0.2,,
,15872,,,,,0.0022975514,718.696044921875,-9.765924167633056,1432.047674560547,-1.1920928955078125e-06,-0.019099290668964385,1230,0.0003,0.0,0.2,12.0,-18.2971084
54284,15872,0,-108.54163109000001,26.52,124,,,,,,,,,,,,
54560,16000,0,-108.00069348000001,26.47,125,0.008452622,808.4298706054688,-9.663181686401368,1659.517596435547,-1.3113021850585938e-06,-0.034698708727955815,1240,0.0003,0.03359375,0.2,,
54800,16128,0,-107.42358832,26.26,126,0.069764346,799.4389038085938,-9.620450639724732,1547.3910278320313,-1.3113021850585938e-06,-0.07527191489934922,1250,0.0003,0.278125,0.2,,
55067,16256,0,-101.97223328999999,24.95,127,0.056212924,665.0165405273438,-9.687678575515747,1213.142510986328,-1.7881393432617188e-06,-0.0875034156255424,1260,0.0003,0.35,0.2,,
,16384,,,,,0.0936797,567.6699829101562,-9.581199264526367,1062.754135131836,-1.5497207641601562e-06,-0.09124933909624815,1270,0.0003,0.4359375,0.2,3.2,-5.1088287999999995
55364,16384,0,-97.65847293,23.72,128,,,,,,,,,,,,
55633,16512,0,-98.72030148000002,23.74,129,0.016432332,790.06640625,-9.635278129577637,1373.4157409667969,-7.152557373046875e-07,-0.04552964996546507,1280,0.0003,0.06796875,0.2,,
