time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/n_updates,train/is_line_search_success,train/learning_rate,train/kl_divergence_loss,train/explained_variance,train/policy_objective,eval/mean_reward,eval/mean_ep_length
10496,-295.92909435999997,82,0,56.8,39591,2635.655859375,81,1.0,0.001,0.0003853639354929328,-1.3113021850585938e-06,0.06343167275190353,,
10624,-294.32002963,83,0,56.42,39841,2695.378564453125,82,1.0,0.001,0.00036188887315802276,-9.5367431640625e-07,0.05757095664739609,,
10752,,,,,,2392.9448486328124,83,1.0,0.001,0.0003482082101982087,-1.1920928955078125e-07,0.058300506323575974,-180.5816452,397.0
10752,-294.87537190999996,84,0,56.6,41005,,,,,,,,,
10880,-283.67496217,85,0,54.85,41269,2779.5728759765625,84,1.0,0.001,0.0003388210607226938,-2.384185791015625e-07,0.053923048079013824,,
11008,-278.67753428,86,0,53.91,41528,1703.1562622070312,85,1.0,0.001,0.0003442450542934239,-1.0728836059570312e-06,0.057736024260520935,,
11136,-275.6502473,87,0,53.52,41800,1922.3492309570313,86,1.0,0.001,0.00035744853084906936,-5.960464477539062e-07,0.06309178471565247,,
11264,,,,,,2724.599267578125,87,1.0,0.001,0.00035977744846604764,-2.384185791015625e-07,0.06344150006771088,-181.2063568,397.0
11264,-276.46689215999993,88,0,53.63,42989,,,,,,,,,
11392,-267.54703104,89,0,52.08,43257,4130.5474609375,88,1.0,0.001,0.00036554757389239967,-3.5762786865234375e-07,0.054840777069330215,,
11520,-266.95039153,90,0,51.95,43528,2040.8901977539062,89,1.0,0.001,0.0003359738038852811,-9.5367431640625e-07,0.054901231080293655,,
11648,-266.71846782999995,91,0,51.96,43799,2717.5286376953127,90,1.0,0.001,0.0003478164435364306,-9.5367431640625e-07,0.06606017798185349,,
11776,,,,,,3146.1528076171876,91,1.0,0.001,0.00037816690746694803,-1.0728836059570312e-06,0.060180678963661194,-180.7232656,397.0
11776,-268.84550156,92,0,52.49,44978,,,,,,,,,
11904,-265.23273075000003,93,0,51.83,45243,2153.225634765625,92,1.0,0.001,0.00039862337871454656,0.0,0.059060558676719666,,
12032,-260.77818059,94,0,50.93,45509,3119.952978515625,93,1.0,0.001,0.00039777345955371857,-7.152557373046875e-07,0.06372226774692535,,
12160,-255.55204352999996,95,0,50.1,45792,2066.743505859375,94,1.0,0.001,0.0003860004071611911,-9.5367431640625e-07,0.05983592942357063,,
12288,,,,,,2341.3363525390623,95,1.0,0.001,0.00039256818126887083,-1.0728836059570312e-06,0.05801841989159584,-181.30233119999997,398.6
12288,-246.27892468000002,96,0,48.87,46956,,,,,,,,,
12416,-245.9584325,97,0,48.74,47200,2420.249267578125,96,1.0,0.001,0.00037104912917129695,-8.344650268554688e-07,0.05873579531908035,,
12544,-246.43272852,98,0,48.93,47438,2088.0734619140626,97,1.0,0.001,0.00041378638707101345,-7.152557373046875e-07,0.05729706585407257,,
12672,-242.62373593,99,0,48.2,47696,1653.6218017578126,98,1.0,0.001,0.0003999787732027471,-1.0728836059570312e-06,0.06154361739754677,,
12800,,,,,,2473.6889404296876,99,1.0,0.001,0.00041531247552484274,-3.5762786865234375e-07,0.06047287955880165,-180.988125,398.2
12800,-245.86184768000004,100,0,48.87,48884,,,,,,,,,
12928,-238.64418346999994,101,0,47.48,49131,1676.9925537109375,100,1.0,0.001,0.0003616894537117332,-9.5367431640625e-07,0.062416430562734604,,
13056,-241.55797164000003,102,0,48.02,49420,2082.025048828125,101,1.0,0.001,0.0003750777104869485,-1.0728836059570312e-06,0.0666690468788147,,
13184,-231.14980057,103,0,46.31,49690,2480.071240234375,102,1.0,0.001,0.0004201820120215416,-4.76837158203125e-07,0.06693606078624725,,
13312,,,,,,1647.8768798828125,103,1.0,0.001,0.00037906604120507836,-8.344650268554688e-07,0.06177577003836632,-181.0324602,397.4
13312,-227.61986836000003,104,0,45.79,50875,,,,,,,,,
13440,-222.97202664,105,0,44.97,51144,3143.7853759765626,104,1.0,0.001,0.00036051400820724666,-9.5367431640625e-07,0.06514827907085419,,
13568,-220.21068537000002,106,0,44.28,51393,2533.0619384765623,105,1.0,0.001,0.00040521216578781605,-8.344650268554688e-07,0.06204468384385109,,
13696,-219.39859428,107,0,44.16,51666,3025.0681884765627,106,1.0,0.001,0.0003863177262246609,-1.430511474609375e-06,0.06367319822311401,,
13824,,,,,,3232.0003662109375,107,1.0,0.001,0.0003869682550430298,1.7881393432617188e-07,0.0629083439707756,-181.0926824,399.0
13824,-215.07862939000003,108,0,43.48,52828,,,,,,,,,
13952,-205.40059406,109,0,41.58,53078,1841.5109619140626,108,1.0,0.001,0.0004017476749140769,-5.960464477539062e-07,0.05720982700586319,,
14080,-203.16118558,110,0,41.31,53321,2603.9934814453127,109,1.0,0.001,0.0003907215432263911,-3.5762786865234375e-07,0.06668375432491302,,
14208,-200.7256867,111,0,40.97,53588,1552.7824584960938,110,1.0,0.001,0.00037575524765998125,-2.384185791015625e-07,0.05493883416056633,,
14336,,,,,,2662.270947265625,111,1.0,0.001,0.0003833455848507583,-5.960464477539062e-07,0.0613139383494854,-180.9720048,398.2
14336,-201.34507948,112,0,41.13,54747,,,,,,,,,
14464,-203.30147579,113,0,41.31,55015,3007.0246826171874,112,1.0,0.001,0.00040978993638418615,-7.152557373046875e-07,0.07102854549884796,,
14592,-201.7351872,114,0,41.13,55282,1600.34228515625,113,1.0,0.001,0.0003831438079942018,-5.960464477539062e-07,0.0568808987736702,,
14720,-199.82310078999998,115,0,40.82,55559,3060.28486328125,114,1.0,0.001,0.0003708152798935771,-3.5762786865234375e-07,0.05583975091576576,,
14848,,,,,,3293.1862548828126,115,1.0,0.001,0.00038704852340742946,-3.5762786865234375e-07,0.06499698758125305,-181.13427360000003,398.0
14848,-196.56472925000003,116,0,39.96,56748,,,,,,,,,
14976,-198.28330332999997,117,0,40.05,57014,2761.5100830078127,116,1.0,0.001,0.0004199389077257365,-2.384185791015625e-07,0.059027209877967834,,
15104,-197.08485789,118,0,39.72,57296,2870.07685546875,117,1.0,0.001,0.00035732489777728915,-5.960464477539062e-07,0.05860593914985657,,
15232,-194.99213622,119,0,39.54,57535,2904.7547119140627,118,1.0,0.001,0.0003862653684336692,-3.5762786865234375e-07,0.059986330568790436,,
15360,,,,,,1758.53837890625,119,1.0,0.001,0.0004184808931313455,-1.1920928955078125e-07,0.06044519692659378,-181.3594678,398.6
15360,-194.11644420000002,120,0,39.62,58706,,,,,,,,,
15488,-192.9279045,121,0,39.52,58952,2970.414599609375,120,1.0,0.001,0.0004058445047121495,-1.0728836059570312e-06,0.06677336245775223,,
15616,-187.43494471999998,122,0,38.44,59229,2205.3612060546875,121,1.0,0.001,0.00036964850733056664,-2.384185791015625e-07,0.06412449479103088,,
15744,-185.39720794999997,123,0,38.31,59477,2647.509423828125,122,1.0,0.001,0.0003797175013460219,-3.5762786865234375e-07,0.06151799112558365,,
15872,,,,,,1758.9119018554688,123,1.0,0.001,0.0004298062704037875,-7.152557373046875e-07,0.06044745072722435,-180.7719596,398.2
15872,-183.61850060999998,124,0,37.97,60638,,,,,,,,,
16000,-185.02121519999997,125,0,38.26,60898,2362.442919921875,124,1.0,0.001,0.0003694841871038079,-1.1920928955078125e-07,0.05980156362056732,,
16128,-182.17418615000003,126,0,37.52,61159,2163.3794189453124,125,1.0,0.001,0.0003974165301769972,-7.152557373046875e-07,0.06303704530000687,,
16256,-182.81687135,127,0,37.72,61423,1775.30703125,126,1.0,0.001,0.00038714410038664937,-1.1920928955078125e-07,0.057967059314250946,,
16384,,,,,,1860.482568359375,127,1.0,0.001,0.00038983748527243733,-9.5367431640625e-07,0.06083589792251587,-180.8141928,398.2
16384,-182.61402826000003,128,0,37.78,62590,,,,,,,,,
16512,-181.61700423,129,0,37.67,62855,2506.0392822265626,128,1.0,0.001,0.00038790510734543204,-5.960464477539062e-07,0.06511392444372177,,
16640,-178.90589460000004,130,0,37.09,63124,3268.741162109375,129,1.0,0.001,0.00043040787568315864,-1.3113021850585938e-06,0.06149563565850258,,
16768,-182.94382958000003,131,0,38.12,63390,2129.6048828125,130,1.0,0.001,0.000437683891505003,-1.1920928955078125e-06,0.06390447169542313,,
16896,,,,,,2488.2215576171875,131,1.0,0.001,0.00037887608050368726,-3.5762786865234375e-07,0.05701344087719917,-181.0364836,398.4
16896,-177.15614918,132,0,37.23,64532,,,,,,,,,
17024,-178.74685291999998,133,0,37.41,64803,2356.5415283203124,132,1.0,0.001,0.0003896057023666799,-1.1920928955078125e-07,0.06139044463634491,,
17152,-172.20637386,134,0,36.26,65069,1876.9879028320313,133,1.0,0.001,0.0003796821692958474,-5.960464477539062e-07,0.0632857009768486,,
17280,-168.51963586,135,0,35.65,65335,2144.30205078125,134,1.0,0.001,0.00043178279884159565,-1.1920928955078125e-07,0.05627540871500969,,
