time/fps,train/adaptive_beta,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,rollout/ep_rew_mean,train/n_updates,train/clip_fraction,train/entropy_loss,train/clip_range,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
0,0.5,4480,70,26090,0.014402959,1.3113021850585938e-06,0.0003,342.85394287109375,-259.2290520470588,690,0.075,-10.267766094207763,0.2,51.588235294117645,-0.05101268757134676,699.0827697753906,,
0,0.5,4544,71,26294,0.0048887543,-8.821487426757812e-06,0.0003,536.8207397460938,-259.2290520470588,700,0.0078125,-10.276999473571777,0.2,51.588235294117645,-0.02212545396760106,1088.7163940429687,,
,0.5,4608,,,0.0049903123,-0.00010013580322265625,0.0003,667.7171020507812,,710,0.0,-10.275482559204102,0.2,,-0.026221679337322713,1351.7668090820312,-183.27741799999998,280.0
0,0.5,4608,72,27857,,,,,-260.35342756976746,,,,,51.86046511627907,,,,
0,0.5,4672,73,28074,0.004044193,-2.5391578674316406e-05,0.0003,452.13934326171875,-260.35342756976746,720,0.009375,-10.272958755493164,0.2,51.86046511627907,-0.024922857992351055,918.9535339355468,,
0,0.5,4736,74,28287,0.0053747008,-1.430511474609375e-06,0.0003,739.3114013671875,-263.74129103370785,730,0.00625,-10.276430416107178,0.2,52.550561797752806,-0.026931408885866405,1495.2537963867187,,
0,0.5,4800,75,28505,0.010733966,-1.7881393432617188e-05,0.0003,288.0874938964844,-263.74129103370785,740,0.0390625,-10.286639499664307,0.2,52.550561797752806,-0.03901233039796352,589.5010864257813,,
0,0.5,4864,76,28715,0.0041896626,-0.0001100301742553711,0.0003,802.0978393554688,-263.74129103370785,750,0.00625,-10.286755657196045,0.2,52.550561797752806,-0.02556655267253518,1621.120654296875,,
0,0.5,4928,77,28955,0.0052818405,4.690885543823242e-05,0.0003,692.997802734375,-265.07518369999997,760,0.0046875,-10.290521240234375,0.2,52.855555555555554,-0.02571044210344553,1402.3345947265625,,
0,0.5,4992,78,29206,0.0032085553,-0.0001443624496459961,0.0003,837.9833984375,-267.1620668369565,770,0.0,-10.298185920715332,0.2,53.09782608695652,-0.020198068441823126,1692.4899780273438,,
0,0.475,5056,79,29416,0.0044313623,-2.4080276489257812e-05,0.0003,882.3033447265625,-269.2126196451613,780,0.0015625,-10.30533390045166,0.2,53.344086021505376,-0.024256336316466332,1781.4463134765624,,
