train/adaptive_beta,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
0.5,4480,-280.42694278048776,35,0,52.74390243902439,15719,340,0.0003,-0.040430493839085105,-3.635883331298828e-05,0.2,890.276123046875,1765.9080200195312,0.034375,-10.296420669555664,0.009749085,,
0.5,4608,,,,,,350,0.0003,-0.036768427863717076,-1.621246337890625e-05,0.2,1525.349853515625,3232.571496582031,0.028125,-10.29841365814209,0.008977759,-7.4279162,49.0
0.5,4608,-283.52371410714284,36,0,53.166666666666664,16187,,,,,,,,,,,,
0.5,4736,-284.8164702209302,37,0,53.74418604651163,16445,360,0.0003,-0.046260594949126245,-1.4424324035644531e-05,0.2,717.7506713867188,1826.813739013672,0.06328125,-10.294928169250488,0.014216745,,
0.5,4864,-285.1787293863636,38,0,53.94318181818182,16699,370,0.0003,-0.03214464271441102,-4.410743713378906e-06,0.2,1124.2188720703125,2423.022021484375,0.0265625,-10.29805417060852,0.008393442,,
0.5,4992,-284.68354723333334,39,0,53.888888888888886,16992,380,0.0003,-0.03714893208816648,-1.3113021850585938e-05,0.2,840.2054443359375,1684.2359558105468,0.02890625,-10.304164171218872,0.008657336,,
0.475,5120,,,,,,390,0.0003,-0.027677639666944743,1.8477439880371094e-06,0.2,1663.6207275390625,3283.319384765625,0.00625,-10.317828798294068,0.0054920935,-181.57349960000002,199.0
0.475,5120,-284.3281130860215,40,0,53.97849462365591,18087,,,,,,,,,,,,
0.475,5248,-280.22321237113397,41,0,53.25773195876289,18337,400,0.0003,-0.04757458716630936,-1.0013580322265625e-05,0.2,817.1227416992188,1712.4802795410155,0.0578125,-10.313193559646606,0.014502757,,
0.475,5376,-280.22321237113397,42,0,53.25773195876289,18621,410,0.0003,-0.042770607955753805,-1.4901161193847656e-05,0.2,793.1362915039062,1567.4246215820312,0.05546875,-10.307720184326172,0.012293207,,
