time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/kl_divergence_loss,train/policy_objective,train/n_updates,train/learning_rate,train/value_loss,train/explained_variance,train/is_line_search_success,eval/mean_ep_length,eval/mean_reward
29724,9856,0,-9.79016404,3.94,77,0.045568548142910004,0.3502838611602783,76,0.001,56.197396469116214,0.0007892847061157227,1.0,,
29964,9984,0,-9.44038403,3.85,78,0.05339427292346954,0.27397286891937256,77,0.001,54.258552932739256,0.0010825395584106445,1.0,,
30193,10112,0,-8.70549032,4.03,79,0.0354795977473259,0.3018566966056824,78,0.001,52.83516311645508,0.001629650592803955,1.0,,
,10240,,,,,0.056371599435806274,0.5261913537979126,79,0.001,41.42286987304688,0.003310263156890869,1.0,13.8,-11.2882482
30637,10240,0,-8.474871830000001,3.9,80,,,,,,,,,
30905,10368,0,-8.53517703,3.96,81,0.04985334724187851,0.35623759031295776,80,0.001,38.57659645080567,9.703636169433594e-05,1.0,,
31172,10496,0,-8.81753753,4.02,82,0.04781372845172882,0.31511014699935913,81,0.001,37.557160186767575,0.00017464160919189453,1.0,,
31424,10624,0,-9.16717843,4.15,83,0.04959345608949661,0.41753247380256653,82,0.001,30.152666091918945,0.0009367465972900391,1.0,,
,10752,,,,,0.04639195650815964,0.32976120710372925,83,0.001,28.097531127929688,0.0014116168022155762,1.0,4.8,-6.0292448
31734,10752,0,-9.38313086,4.34,84,,,,,,,,,
31982,10880,0,-8.9185358,3.98,85,0.053217481821775436,0.2838066816329956,84,0.001,31.780027389526367,0.00049591064453125,1.0,,
32227,11008,0,-8.79892782,3.79,86,0.04735349863767624,0.37440621852874756,85,0.001,26.394927787780762,0.00044029951095581055,1.0,,
32488,11136,0,-8.589088960000002,3.69,87,0.03425663709640503,0.30082178115844727,86,0.001,25.591189575195312,0.00025260448455810547,1.0,,
,11264,,,,,0.039997365325689316,0.30325591564178467,87,0.001,24.92856788635254,0.0005821585655212402,1.0,13.6,-8.180222599999999
32928,11264,0,-8.359374760000001,3.71,88,,,,,,,,,
33175,11392,0,-7.88888265,3.71,89,0.07220591604709625,0.40490004420280457,88,0.001,21.638291549682616,0.0021903514862060547,1.0,,
33393,11520,0,-7.456616099999999,3.84,90,0.03967861831188202,0.2693108320236206,89,0.001,20.06996726989746,0.002191901206970215,1.0,,
33620,11648,0,-7.238601999999999,3.96,91,0.0607747808098793,0.6572149395942688,90,0.001,13.248702812194825,0.007712304592132568,1.0,,
,11776,,,,,0.07273595035076141,0.3076191544532776,91,0.001,12.289330005645752,0.00638967752456665,1.0,4.8,-6.1164508
33892,11776,0,-6.99177295,3.96,92,,,,,,,,,
34119,11904,0,-7.161581100000001,4.47,93,0.03729116544127464,0.24878573417663574,92,0.001,12.381250381469727,0.009850263595581055,1.0,,
34345,12032,0,-7.091388720000001,4.48,94,0.06229405477643013,0.24110686779022217,93,0.001,8.21948595046997,0.010172069072723389,1.0,,
34575,12160,0,-7.45156719,4.61,95,0.06706023961305618,0.4007953405380249,94,0.001,11.447649574279785,0.013952851295471191,1.0,,
,12288,,,,,0.062433551996946335,0.24788878858089447,95,0.001,13.242286968231202,0.013843178749084473,1.0,30.6,-7.1489746
34970,12288,0,-7.31539805,4.62,96,,,,,,,,,
35180,12416,0,-7.1749579400000005,4.28,97,0.039893798530101776,0.19316044449806213,96,0.001,10.066987991333008,0.024600744247436523,1.0,,
35375,12544,0,-7.3157588,4.47,98,0.05884118750691414,0.2514248788356781,97,0.001,10.559872150421143,0.03347885608673096,1.0,,
35599,12672,0,-7.119312389999999,4.17,99,0.06755822151899338,0.2939746677875519,98,0.001,11.151663208007813,0.04778820276260376,1.0,,
,12800,,,,,0.06470078229904175,0.22932909429073334,99,0.001,9.900760936737061,0.08244836330413818,1.0,4.8,-5.8299
35858,12800,0,-7.1535517099999995,4.06,100,,,,,,,,,
36072,12928,0,-6.98243385,4.11,101,0.05941588431596756,0.2043866217136383,100,0.001,9.891604995727539,0.09617453813552856,1.0,,
36294,13056,0,-6.962810119999999,4.09,102,0.06849819421768188,0.4895339608192444,101,0.001,8.975400924682617,0.12218499183654785,1.0,,
36491,13184,0,-7.02874108,4.25,103,0.0571102648973465,0.24986591935157776,102,0.001,7.38757209777832,0.2179785966873169,1.0,,
,13312,,,,,0.05732608959078789,0.24831514060497284,103,0.001,7.3112743377685545,0.27065223455429077,1.0,5.2,-4.8590444
36730,13312,0,-6.890463380000001,4.17,104,,,,,,,,,
36937,13440,0,-7.005619029999999,4.42,105,0.07022187113761902,0.27586084604263306,104,0.001,7.464979267120361,0.24565273523330688,1.0,,
37144,13568,0,-7.179854319999999,4.54,106,0.07265269011259079,0.334198534488678,105,0.001,5.469100093841552,0.4626702666282654,1.0,,
37340,13696,0,-6.8128049,4.41,107,0.05350000411272049,0.23921097815036774,106,0.001,5.293783187866211,0.5041122138500214,1.0,,
,13824,,,,,0.06307317316532135,0.2128036618232727,107,0.001,4.303032732009887,0.5812163054943085,1.0,5.6,-5.2833874000000005
37571,13824,0,-6.47558272,4.14,108,,,,,,,,,
37768,13952,0,-6.333902489999999,4.1,109,0.07612346112728119,0.2196628749370575,108,0.001,4.68736047744751,0.5977489650249481,1.0,,
37953,14080,0,-6.217877550000001,4.19,110,0.06531894207000732,0.31626054644584656,109,0.001,4.5726916790008545,0.5972742438316345,1.0,,
38156,14208,0,-6.409980049999999,4.14,111,0.09503708779811859,0.21890518069267273,110,0.001,3.660589909553528,0.6679028868675232,1.0,,
,14336,,,,,0.04861384257674217,0.2129788100719452,111,0.001,4.204243421554565,0.6082647144794464,1.0,5.8,-5.8453512000000005
38370,14336,0,-6.364019949999999,4.26,112,,,,,,,,,
38566,14464,0,-6.643294119999999,4.33,113,0.06707437336444855,0.17645956575870514,112,0.001,3.7522642850875854,0.6706852316856384,1.0,,
38776,14592,0,-6.549791590000002,4.24,114,0.06991302967071533,0.19752497971057892,113,0.001,4.4081813335418705,0.6029682457447052,1.0,,
38991,14720,0,-6.4923945,4.19,115,0.029890401288866997,0.18230730295181274,114,0.001,3.2921831130981447,0.7301638722419739,1.0,,
,14848,,,,,0.057947464287281036,0.2042391151189804,115,0.001,3.077185535430908,0.7127708494663239,1.0,6.0,-5.894131
39222,14848,0,-6.3174781,4.43,116,,,,,,,,,
39423,14976,0,-6.40175156,4.38,117,0.05344388633966446,0.19117669761180878,116,0.001,2.767933225631714,0.6070461273193359,1.0,,
39627,15104,0,-6.382306549999998,4.52,118,0.04028083011507988,0.14981189370155334,117,0.001,2.920774793624878,0.6810921430587769,1.0,,
39809,15232,0,-6.444361029999999,4.72,119,0.06105606257915497,0.24292036890983582,118,0.001,1.9532431483268737,0.7531394809484482,1.0,,
,15360,,,,,0.08194826543331146,0.5223288536071777,119,0.001,1.5271228671073913,0.8156696110963821,1.0,4.6,-4.9399702
40030,15360,0,-6.33174732,4.47,120,,,,,,,,,
40204,15488,0,-6.14583503,4.84,121,0.06762281060218811,0.36531510949134827,120,0.001,1.3307819724082948,0.8424642533063889,1.0,,
40391,15616,0,-6.1371281,4.92,122,0.06842584908008575,0.1738659292459488,121,0.001,1.178436803817749,0.7806259095668793,1.0,,
40569,15744,0,-6.09107299,4.74,123,0.04895481839776039,0.2120296061038971,122,0.001,1.6144766330718994,0.7496312260627747,1.0,,
,15872,,,,,0.034062840044498444,0.18639419972896576,123,0.001,1.486615204811096,0.817915216088295,1.0,5.2,-5.3655548
40769,15872,0,-5.99160556,5.04,124,,,,,,,,,
40940,16000,0,-5.95103646,4.74,125,0.07472161948680878,0.2861568331718445,124,0.001,1.2048364877700806,0.8998041152954102,1.0,,
41121,16128,0,-5.950482799999999,4.77,126,0.07867764681577682,0.24917271733283997,125,0.001,1.5629123330116272,0.667161762714386,1.0,,
41308,16256,0,-6.18856501,5.92,127,0.05463573336601257,0.1469201147556305,126,0.001,2.449112057685852,0.5462715029716492,1.0,,
,16384,,,,,0.07698343694210052,0.2242971509695053,127,0.001,1.6184454917907716,0.7062742114067078,1.0,57.2,-8.2069548
41845,16384,0,-6.23350785,5.97,128,,,,,,,,,
42030,16512,0,-6.29159035,5.86,129,0.07732326537370682,0.16579365730285645,128,0.001,1.2867327809333802,0.8451564610004425,1.0,,
42208,16640,0,-6.117032350000001,5.79,130,0.058179788291454315,0.18769368529319763,129,0.001,0.9421282589435578,0.8589410930871964,1.0,,
42399,16768,0,-5.78593459,4.4,131,0.09497275203466415,0.1700657159090042,130,0.001,0.8614950120449066,0.8863404169678688,1.0,,
,16896,,,,,0.055089086294174194,0.18365491926670074,131,0.001,0.8010747849941253,0.879418134689331,1.0,6.4,-5.6185792
42587,16896,0,-5.595395559999999,4.61,132,,,,,,,,,
42760,17024,0,-5.603464149999999,4.56,133,0.06850223243236542,0.12150266766548157,132,0.001,0.5972013950347901,0.9013838618993759,1.0,,
42935,17152,0,-5.60906612,4.76,134,0.0925576239824295,0.09696535021066666,133,0.001,0.8256215155124664,0.8462158441543579,1.0,,
43112,17280,0,-5.55614468,4.87,135,0.06845186650753021,0.15955187380313873,134,0.001,0.6964353561401367,0.8409806787967682,1.0,,
,17408,,,,,0.08462953567504883,0.22446414828300476,135,0.001,1.370592963695526,0.6498143672943115,1.0,31.2,-7.7296786
43481,17408,0,-5.69834873,5.61,136,,,,,,,,,
43638,17536,0,-5.72522907,5.5,137,0.03474783897399902,0.1517837643623352,136,0.001,1.155032503604889,0.7083742022514343,1.0,,
43799,17664,0,-5.85565132,6.8,138,0.06684516370296478,0.17444881796836853,137,0.001,0.8886158883571624,0.7323696911334991,1.0,,
43967,17792,0,-5.95547506,6.92,139,0.08189339935779572,0.11123699694871902,138,0.001,0.9463101625442505,0.7818764746189117,1.0,,
,17920,,,,,0.07637950032949448,0.17052051424980164,139,0.001,1.0109433710575104,0.7885165810585022,1.0,5.6,-5.7487386
44160,17920,0,-5.86805679,6.12,140,,,,,,,,,
44320,18048,0,-6.07124065,6.3,141,0.050702765583992004,0.16385039687156677,140,0.001,1.03155437707901,0.8275194317102432,1.0,,
44473,18176,0,-6.0694762099999995,5.11,142,0.03821258619427681,0.1224885880947113,141,0.001,0.5726486265659332,0.9149125143885612,1.0,,
44635,18304,0,-6.04210668,4.92,143,0.06983344256877899,0.21208184957504272,142,0.001,0.577936053276062,0.8822364434599876,1.0,,
,18432,,,,,0.06180447340011597,0.16341489553451538,143,0.001,0.5985523104667664,0.8941221386194229,1.0,6.2,-6.495095000000001
44805,18432,0,-5.92116228,5.03,144,,,,,,,,,
44952,18560,0,-5.801800290000001,5.24,145,0.047446366399526596,0.12143188714981079,144,0.001,0.7151713907718659,0.8628048598766327,1.0,,
45097,18688,0,-5.58424873,5.35,146,0.05839116871356964,0.143680602312088,145,0.001,0.27804086804389955,0.9574121199548244,1.0,,
45235,18816,0,-5.420196130000001,5.46,147,0.06839174777269363,0.10680678486824036,146,0.001,0.3198989689350128,0.9209846705198288,1.0,,
,18944,,,,,0.08039627969264984,0.22686782479286194,147,0.001,0.4286291688680649,0.8571101874113083,1.0,164.2,-9.922368
45735,18944,0,-5.46046619,6.56,148,,,,,,,,,
45871,19072,0,-5.556984950000001,6.78,149,0.05042964965105057,0.13291025161743164,148,0.001,0.7619615435600281,0.7679448425769806,1.0,,
45991,19200,0,-5.608977770000001,7.29,150,0.04469946026802063,0.10732704401016235,149,0.001,0.5287660181522369,0.8760325759649277,1.0,,
46115,19328,0,-5.567578619999999,7.31,151,0.07174413651227951,0.13522830605506897,150,0.001,0.48396340310573577,0.850346565246582,1.0,,
,19456,,,,,0.06606880575418472,0.15412451326847076,151,0.001,0.3466760188341141,0.8492043316364288,1.0,84.8,-9.959049799999999
46592,19456,0,-5.567578619999999,7.31,152,,,,,,,,,
46701,19584,0,-5.567578619999999,7.31,153,0.058272480964660645,0.11758135259151459,152,0.001,0.24665368497371673,-0.1906071901321411,1.0,,
46800,19712,0,-5.567578619999999,7.31,154,0.07376106828451157,0.06375809013843536,153,0.001,0.3113635152578354,0.006680607795715332,1.0,,
46904,19840,0,-5.635474729999999,9.23,155,0.0043667638674378395,0.04240531474351883,154,0.001,0.1364549443125725,0.005312740802764893,1.0,,
