time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
25344,-5.393321249999999,198,0,12.12,48844,1970,0.0003,-0.014634421654045581,0.9836062155663967,0.2,0.012384990230202675,0.06171502871438861,0.05625,-0.5459578856825829,0.006212868,,
25472,-5.41954482,199,0,12.21,48908,1980,0.0003,-0.01003325441852212,0.9883811417967081,0.2,-8.154846727848053e-05,0.04754257667809725,0.05546875,-0.5909793138504028,0.008852569,,
25600,,,,,,1990,0.0003,-0.011892440449446439,0.9908395782113075,0.2,-0.00708497129380703,0.022176403319463134,0.08828125,-0.5686460018157959,0.014761638,-10.6716608,94.0
25600,-5.428049500000001,200,0,12.14,49189,,,,,,,,,,,,
25728,-5.477442789999999,201,0,13.05,49252,2000,0.0003,-0.00722731496207416,0.9335173740983009,0.2,0.0205981507897377,0.08117067031562328,0.04609375,-0.5146023169159889,0.0063635833,,
25856,-5.515974919999999,202,0,13.48,49316,2010,0.0003,-0.008255372289568186,0.9788488373160362,0.2,0.00940889772027731,0.05814735367894173,0.04765625,-0.5689860850572586,0.006002927,,
25984,-5.4897600199999985,203,0,13.51,49380,2020,0.0003,-0.024304710701107977,0.9859622502699494,0.2,-0.02220645174384117,0.0313151964917779,0.11953125,-0.6243298441171646,0.034112714,,
26112,,,,,,2030,0.0003,-0.015919490810483695,0.9830338843166828,0.2,-0.012241160497069359,0.06051290351897478,0.11015625,-0.8161558628082275,0.020629676,-8.345564,92.6
26112,-5.466227739999999,204,0,13.6,49664,,,,,,,,,,,,
26240,-5.42162554,205,0,12.78,49732,2040,0.0003,-0.013294736109673976,0.9932838273234665,0.2,-0.03547164425253868,0.023963729199022055,0.10234375,-0.8353165298700332,0.016386263,,
26368,-5.36651391,206,0,12.92,49797,2050,0.0003,-0.02532193809747696,0.977423457428813,0.2,-0.03117692656815052,0.05634089643135667,0.09375,-0.6504776924848557,0.056246787,,
26496,-5.27355712,207,0,13.06,49863,2060,0.0003,-0.010883315699175,0.977897996082902,0.2,0.026506751775741577,0.061362427193671465,0.03671875,-0.5061380803585053,0.004513471,,
26624,,,,,,2070,0.0003,-0.009421189036220311,0.9817458484321833,0.2,-0.0028538797050714493,0.05296775940805674,0.0609375,-0.5299242436885834,0.009721221,-3.7193502,12.2
26624,-5.2589783599999995,208,0,13.23,49960,,,,,,,,,,,,
26752,-5.166459470000001,209,0,13.55,50028,2080,0.0003,-0.006229552626609802,0.9482863657176495,0.2,0.030048979446291924,0.1227174025028944,0.08515625,-0.580166631937027,0.011579987,,
26880,-5.23707043,210,0,14.0,50096,2090,0.0003,-0.01080040642991662,0.9878554763272405,0.2,0.005195885431021452,0.039496018644422294,0.0390625,-0.6348309725522995,0.008627627,,
27008,-5.14041552,211,0,13.04,50168,2100,0.0003,-0.01928273541852832,0.9325587004423141,0.2,-0.014991551637649536,0.08714403435587884,0.17890625,-0.8274826347827912,0.9943306,,
27136,,,,,,2110,0.0003,-0.023659750632941724,0.967147059738636,0.2,-0.014477409422397614,0.07227763440459967,0.1171875,-0.7085584908723831,0.035561107,-5.2381986,13.8
27136,-5.09505752,212,0,12.59,50270,,,,,,,,,,,,
27264,-5.06401113,213,0,12.72,50338,2120,0.0003,-0.008423941116780043,0.980024354532361,0.2,0.03401055932044983,0.06808737684041262,0.0734375,-0.6837620288133621,0.016861407,,
27392,-5.05319634,214,0,12.54,50400,2130,0.0003,-0.01877084728330374,0.9671502970159054,0.2,0.024048900231719017,0.09567214883863925,0.08359375,-0.6758442640304565,0.03597513,,
27520,-4.9917107199999995,215,0,12.79,50462,2140,0.0003,-0.006746929418295622,0.9935709284618497,0.2,-0.010775195434689522,0.020375330932438374,0.0390625,-0.5716063767671585,0.008838093,,
27648,,,,,,2150,0.0003,-0.00616134237498045,0.991997629404068,0.2,-0.007655900903046131,0.012458936218172312,0.04765625,-0.46374492049217225,0.0056525585,-9.608356,93.0
27648,-5.014632709999999,216,0,12.84,50736,,,,,,,,,,,,
27776,-4.99625524,217,0,12.53,50801,2160,0.0003,-0.017976130824536085,0.9956759032793343,0.2,-0.021040048450231552,0.01216641110368073,0.065625,-0.43304199129343035,0.029105028,,
27904,-5.0673634000000005,218,0,13.23,50864,2170,0.0003,-0.02126282434910536,0.9541163519024849,0.2,-0.018948841840028763,0.09215656686574221,0.1890625,-0.6036523714661598,0.022588644,,
28032,-5.13989363,219,0,13.35,50927,2180,0.0003,0.01202837135642767,0.8294489085674286,0.2,0.3082057237625122,0.6852030605077744,0.06484375,-0.47177407145500183,0.0079057105,,
28160,,,,,,2190,0.0003,-0.011453528050333261,0.9784584399312735,0.2,0.01980210468173027,0.08333630636334419,0.0765625,-0.49560026824474335,0.023942297,-10.7974214,95.2
28160,-4.98806491,220,0,12.67,51208,,,,,,,,,,,,
28288,-5.05439445,221,0,12.99,51272,2200,0.0003,-0.004285552352666855,0.9877065867185593,0.2,-0.0059303343296051025,0.024629781115800144,0.02578125,-0.4111745566129684,0.007661592,,
28416,-5.0761608,222,0,13.25,51332,2210,0.0003,-0.009383114334195853,0.9702764712274075,0.2,0.03290516138076782,0.08754714168608188,0.0890625,-0.3641308218240738,0.014868446,,
