time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/value_loss,train/kl_divergence_loss,train/learning_rate,train/n_updates,train/is_line_search_success,train/policy_objective,train/explained_variance,eval/mean_ep_length,eval/mean_reward
37376,0,-5.575616379999998,4.74,100318,292,,,,,,,,,
37504,0,-5.8355949,5.23,100530,293,0.5110593348741531,0.007634654641151428,0.001,292,1.0,0.07693889737129211,0.8220569044351578,,
37632,0,-5.69974204,4.98,100726,294,0.791461193561554,0.006319431588053703,0.001,293,1.0,0.10055945813655853,0.8741541802883148,,
37760,0,-5.67750757,5.1,100923,295,0.5952406108379364,0.009096144698560238,0.001,294,1.0,0.09790585935115814,0.8421415984630585,,
37888,,,,,,0.7796798467636108,0.007488330826163292,0.001,295,1.0,0.06769229471683502,0.8169312477111816,4.0,-4.4168566
37888,0,-5.578665170000001,5.16,101153,296,,,,,,,,,
38016,0,-5.6601534099999995,5.87,101347,297,0.9223290324211121,0.00781776662915945,0.001,296,1.0,0.06764503568410873,0.7551250457763672,,
38144,0,-5.580351149999999,5.92,101547,298,0.48776715993881226,0.00803066324442625,0.001,297,1.0,0.08474631607532501,0.8940979838371277,,
38272,0,-5.683661589999999,6.06,101734,299,0.7215256869792939,0.00993255153298378,0.001,298,1.0,0.049650657922029495,0.8354577869176865,,
38400,,,,,,0.8470974147319794,0.0058523137122392654,0.001,299,1.0,0.058770544826984406,0.8267059922218323,4.4,-5.3469876
38400,0,-5.924421,6.61,101963,300,,,,,,,,,
38528,0,-5.72481356,5.46,102118,301,0.6175211429595947,0.006223870441317558,0.001,300,1.0,0.08031001687049866,0.9032780081033707,,
38656,0,-5.649935490000001,5.36,102289,302,0.6457996010780335,0.008246226236224174,0.001,301,1.0,0.07636279612779617,0.8471705317497253,,
38784,0,-5.708453930000001,5.69,102457,303,0.5184550523757935,0.006586655508726835,0.001,302,1.0,0.10614816844463348,0.8951006531715393,,
38912,,,,,,0.7792586863040925,0.006291956640779972,0.001,303,1.0,0.06854654103517532,0.8538727909326553,31.6,-6.0130652
38912,0,-5.68271632,5.18,102794,304,,,,,,,,,
39040,0,-5.6526191400000005,5.02,102956,305,0.4155310332775116,0.009844728745520115,0.001,304,1.0,0.08042775094509125,0.9198326542973518,,
39168,0,-5.569686630000001,4.91,103123,306,0.48931299448013305,0.004479593597352505,0.001,305,1.0,0.09532161056995392,0.9116657003760338,,
39296,0,-5.449481919999999,4.56,103293,307,0.5076567381620407,0.00820162519812584,0.001,306,1.0,0.09675785899162292,0.8882327005267143,,
39424,,,,,,0.7322583556175232,0.006750126369297504,0.001,307,1.0,0.08975780010223389,0.8528990000486374,4.4,-4.8157454
39424,0,-5.467875879999999,4.78,103495,308,,,,,,,,,
39552,0,-5.52822141,4.85,103656,309,0.8258553504943847,0.004717670381069183,0.001,308,1.0,0.07159322500228882,0.8277476727962494,,
39680,0,-5.67104556,4.87,103828,310,0.6225408375263214,0.006352053955197334,0.001,309,1.0,0.07126060128211975,0.8896267861127853,,
39808,0,-5.72100867,4.93,104014,311,0.43355282247066496,0.005652898922562599,0.001,310,1.0,0.09201447665691376,0.9093997776508331,,
39936,,,,,,0.7924346268177033,0.006441348232328892,0.001,311,1.0,0.07334470748901367,0.8091916739940643,4.4,-5.6143484
39936,0,-5.70116001,4.71,104218,312,,,,,,,,,
40064,0,-5.751734579999999,4.81,104389,313,1.0799153208732606,0.00720196682959795,0.001,312,1.0,0.08284427970647812,0.7818878293037415,,
40192,0,-5.83768267,6.07,104567,314,0.6060438394546509,0.00787871889770031,0.001,313,1.0,0.06906227767467499,0.7995164841413498,,
40320,0,-5.831724780000001,5.99,104752,315,0.5196389853954315,0.006880720146000385,0.001,314,1.0,0.08177687227725983,0.8872759863734245,,
40448,,,,,,0.749478566646576,0.008207648061215878,0.001,315,1.0,0.08936469256877899,0.8573151528835297,4.4,-4.8016796
40448,0,-5.86163554,6.24,104949,316,,,,,,,,,
40576,0,-5.755301240000001,6.23,105126,317,0.6146641612052918,0.005829760804772377,0.001,316,1.0,0.08437292277812958,0.8715241849422455,,
40704,0,-5.8932542099999985,6.18,105305,318,0.6265224277973175,0.006499779876321554,0.001,317,1.0,0.060918256640434265,0.815673366189003,,
40832,0,-5.847669340000001,5.7,105478,319,0.7130819499492645,0.006191200576722622,0.001,318,1.0,0.05737246572971344,0.789432629942894,,
40960,,,,,,0.6227307975292206,0.0073482277803123,0.001,319,1.0,0.06767541915178299,0.7976501882076263,3.8,-4.4471552
40960,0,-5.93369284,6.67,105678,320,,,,,,,,,
41088,0,-5.798887829999999,6.34,105869,321,0.8982509315013886,0.006584786809980869,0.001,320,1.0,0.0655951201915741,0.8196738362312317,,
41216,0,-5.8582086800000015,6.7,106042,322,0.859297376871109,0.007388627156615257,0.001,321,1.0,0.06269074976444244,0.8371213227510452,,
