train/adaptive_beta,train/value_loss,time/total_timesteps,train/n_updates,train/learning_rate,eval/mean_reward,train/entropy_loss,train/explained_variance,train/policy_loss,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed
0.38689046874999994,,25600,,,,,,,,-11.127165220000002,200,0,5.53,88140
0.38689046874999994,35.26456069946289,26112,203,0.0007,-17.813806,-6.727791786193848,0.2247728705406189,-7.521512985229492,50.8,,,,,
0.38689046874999994,33.048336029052734,26624,207,0.0007,-5.7166072,-6.970259666442871,0.2794455885887146,-3.4227917194366455,3.2,,,,,
0.38689046874999994,91.79609680175781,27136,211,0.0007,-12.4750336,-7.797885894775391,0.12868958711624146,-36.70345687866211,31.2,,,,,
0.38689046874999994,32.18130874633789,27648,215,0.0007,-13.278699800000002,-6.979146957397461,0.32317548990249634,-7.167513370513916,55.2,,,,,
0.38689046874999994,34.9138069152832,28160,219,0.0007,-4.3115734,-6.698856830596924,0.30128949880599976,-0.307198166847229,3.6,,,,,
0.38689046874999994,72.89834594726562,28672,223,0.0007,-7.1159482,-7.245551109313965,0.2618700861930847,-27.999074935913086,29.8,,,,,
0.38689046874999994,162.70437622070312,29184,227,0.0007,-15.4922304,-7.587786674499512,0.0945049524307251,-33.42900085449219,51.8,,,,,
0.38689046874999994,9.949949264526367,29696,231,0.0007,-11.8076036,-6.857524394989014,0.5790296792984009,7.641935348510742,30.6,,,,,
0.3675459453124999,69.69998931884766,30208,235,0.0007,-11.257332199999999,-6.799203872680664,0.22756028175354004,-24.105470657348633,22.8,,,,,
0.3675459453124999,16.027446746826172,30720,239,0.0007,-10.9652774,-6.196323394775391,0.38971471786499023,10.842143058776855,23.0,,,,,
0.3675459453124999,28.274169921875,31232,243,0.0007,-9.795312,-6.804233551025391,0.3269970417022705,-0.055068790912628174,55.2,,,,,
0.3675459453124999,61.145851135253906,31744,247,0.0007,-7.195026800000001,-7.135346412658691,0.32271939516067505,-21.25933265686035,29.0,,,,,
0.3675459453124999,5.933980464935303,32256,251,0.0007,-11.962329,-6.492084980010986,0.564685046672821,-0.3636329174041748,54.0,,,,,
0.3675459453124999,8.03247356414795,32768,255,0.0007,-6.1243023999999995,-6.583654403686523,0.5835955440998077,-3.036139726638794,3.0,,,,,
0.3675459453124999,29.09050750732422,33280,259,0.0007,-8.617591599999999,-7.127129554748535,0.2914193272590637,8.102611541748047,55.2,,,,,
0.3675459453124999,27.933425903320312,33792,263,0.0007,-6.8139449999999995,-6.9344635009765625,0.06706064939498901,24.918373107910156,29.2,,,,,
0.3675459453124999,10.588869094848633,34304,267,0.0007,-5.607876599999999,-6.544926643371582,0.4994235634803772,-6.872365951538086,3.0,,,,,
0.3675459453124999,14.001524925231934,34816,271,0.0007,-5.7652648,-6.534193515777588,0.4738604426383972,6.460155487060547,3.4,,,,,
0.34916864804687486,10.92373275756836,35328,275,0.0007,-17.3237664,-6.579514980316162,0.5164194405078888,0.8742506504058838,67.8,,,,,
0.34916864804687486,32.80992889404297,35840,279,0.0007,-5.8658746,-6.886058807373047,0.47784578800201416,-22.004594802856445,3.6,,,,,
0.34916864804687486,5.291623115539551,36352,283,0.0007,-6.2867774,-6.564117431640625,0.6508015096187592,-4.8885087966918945,3.2,,,,,
0.34916864804687486,27.296506881713867,36864,287,0.0007,-10.9998486,-7.691519260406494,0.16285282373428345,12.76955795288086,22.6,,,,,
0.34916864804687486,11.88088607788086,37376,291,0.0007,-6.3138152,-6.956283092498779,0.45999228954315186,-6.277353286743164,3.4,,,,,
0.34916864804687486,44.73693084716797,37888,295,0.0007,-8.0141354,-7.263810157775879,0.3373638987541199,-30.670669555664062,28.6,,,,,
0.34916864804687486,11.32833194732666,38400,299,0.0007,-4.7184738,-6.660215377807617,0.4783327579498291,8.842023849487305,3.4,,,,,
0.34916864804687486,,38400,,,,,,,,-9.72505287,300,0,5.71,115547
0.34916864804687486,33.882720947265625,38912,303,0.0007,-4.363628,-7.00932502746582,0.41988879442214966,-8.132951736450195,3.2,,,,,
0.34916864804687486,17.97008514404297,39424,307,0.0007,-6.025783,-6.833428382873535,0.30741381645202637,-8.839004516601562,5.4,,,,,
0.34916864804687486,22.182422637939453,39936,311,0.0007,-4.8094703999999995,-6.698276996612549,0.37867963314056396,-11.759557723999023,3.0,,,,,
