train/adaptive_beta,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/n_updates,train/is_line_search_success,train/learning_rate,train/kl_divergence_loss,train/explained_variance,train/policy_objective,eval/mean_reward,eval/mean_ep_length
0.475,8832,-7.578677109999998,69,0,3.74,22719,59.383842086791994,68,1.0,0.001,0.38681527972221375,0.0006416440010070801,0.1986560821533203,,
0.475,8960,-8.12329839,70,0,3.86,22945,50.31064682006836,69,1.0,0.001,0.26665860414505005,0.0016028881072998047,0.4436907172203064,,
0.475,9088,-8.196177530000002,71,0,3.95,23153,47.446801376342776,70,1.0,0.001,0.232289656996727,0.0027422308921813965,0.3002415597438812,,
0.475,9216,,,,,,41.88793716430664,71,1.0,0.001,0.37646108865737915,0.0013516545295715332,0.3737946152687073,-8.1220338,79.8
0.475,9216,-7.833643500000001,72,0,3.96,23565,,,,,,,,,
0.475,9344,-7.513422100000002,73,0,4.01,23811,30.049814987182618,72,1.0,0.001,0.2719171643257141,0.0010548233985900879,0.21217258274555206,,
0.475,9472,-7.433569169999999,74,0,4.2,24016,27.35269966125488,73,1.0,0.001,0.3654590845108032,0.0013511180877685547,0.3437562584877014,,
0.475,9600,-7.5729443000000005,75,0,4.97,24222,17.675379371643068,74,1.0,0.001,0.32839876413345337,0.0008618831634521484,0.8781439065933228,,
0.475,9728,,,,,,25.88666687011719,75,1.0,0.001,0.29109203815460205,0.0007819533348083496,0.34006211161613464,-6.1451398,8.6
0.475,9728,-7.53393986,76,0,4.76,24443,,,,,,,,,
0.475,9856,-7.368684750000001,77,0,4.81,24634,21.46453971862793,76,1.0,0.001,0.18882761895656586,0.0007188320159912109,0.2606812119483948,,
0.475,9984,-6.90843954,78,0,4.72,24810,18.678948402404785,77,1.0,0.001,0.39789465069770813,0.0005245804786682129,0.3428495526313782,,
0.45125,10112,-6.73212238,79,0,5.27,24985,15.751124477386474,78,1.0,0.001,0.22555194795131683,0.0005689859390258789,0.5648735761642456,,
0.45125,10240,,,,,,21.4880859375,79,1.0,0.001,0.41488832235336304,0.0019060373306274414,0.45255357027053833,-5.0831688,8.0
0.45125,10240,-6.867468020000001,80,0,5.52,25173,,,,,,,,,
0.45125,10368,-6.8347138,81,0,5.74,25380,14.1627628326416,80,1.0,0.001,0.2927706241607666,0.0027180910110473633,0.12346861511468887,,
0.45125,10496,-7.00191613,82,0,4.45,25614,16.364349842071533,81,1.0,0.001,0.3436065912246704,0.006451249122619629,0.3733588457107544,,
0.45125,10624,-6.731920249999998,83,0,4.03,25822,13.162996768951416,82,1.0,0.001,0.15198415517807007,0.017344951629638672,0.027144767343997955,,
0.45125,10752,,,,,,11.8781307220459,83,1.0,0.001,0.2816386818885803,0.02898949384689331,0.13149547576904297,-5.6609008,7.8
0.45125,10752,-6.795580569999999,84,0,4.02,26024,,,,,,,,,
0.45125,10880,-6.939628419999999,85,0,4.53,26147,11.523205280303955,84,1.0,0.001,0.3882875442504883,0.026561439037322998,0.4637621343135834,,
0.45125,11008,-6.84962411,86,0,5.18,26254,8.293673038482666,85,1.0,0.001,0.3029707968235016,0.04903179407119751,0.12769964337348938,,
0.45125,11136,-6.872715210000001,87,0,5.92,26344,6.970703029632569,86,1.0,0.001,0.2573113739490509,0.06321293115615845,0.27485817670822144,,
0.45125,11264,,,,,,7.3032794952392575,87,1.0,0.001,0.48941919207572937,0.09117412567138672,0.5916259288787842,-5.685816600000001,12.2
0.45125,11264,-7.003397969999998,88,0,6.47,26503,,,,,,,,,
0.45125,11392,-7.142960970000001,89,0,6.87,26638,8.593658351898194,88,1.0,0.001,0.4082332253456116,0.11064386367797852,0.4242914915084839,,
0.45125,11520,-7.161491989999999,90,0,7.26,26745,7.966617822647095,89,1.0,0.001,0.4025948643684387,0.19795739650726318,0.44401314854621887,,
0.45125,11648,-7.1784550000000005,91,0,7.63,26831,5.974529695510864,90,1.0,0.001,0.30052149295806885,0.23098033666610718,0.3632764220237732,,
0.45125,11776,,,,,,5.396277666091919,91,1.0,0.001,0.4978957772254944,0.3064303994178772,0.30687907338142395,-7.074270199999999,14.6
0.45125,11776,-7.248084220000001,92,0,7.54,27013,,,,,,,,,
0.45125,11904,-7.234993930000001,93,0,7.77,27092,5.3905723094940186,92,1.0,0.001,0.16116678714752197,0.35388118028640747,0.2733621597290039,,
0.45125,12032,-7.16075826,94,0,8.08,27184,4.175172901153564,93,1.0,0.001,0.19100531935691833,0.41106635332107544,0.13604164123535156,,
0.45125,12160,-7.1267631300000005,95,0,8.47,27282,4.322226572036743,94,1.0,0.001,0.35686904191970825,0.40780186653137207,0.08787709474563599,,
0.45125,12288,,,,,,4.9638505458831785,95,1.0,0.001,0.28845852613449097,0.3335776925086975,0.1799091398715973,-5.911201,14.2
0.45125,12288,-7.24982651,96,0,9.01,27409,,,,,,,,,
0.45125,12416,-7.256361430000001,97,0,9.63,27516,5.878349113464355,96,1.0,0.001,0.11610505729913712,0.4235383868217468,0.013811783865094185,,
0.45125,12544,-7.209818630000001,98,0,9.52,27605,4.67042989730835,97,1.0,0.001,0.3826988935470581,0.5088647902011871,0.18482881784439087,,
0.45125,12672,-7.0620972900000005,99,0,9.61,27715,4.536715316772461,98,1.0,0.001,0.35615450143814087,0.7399863302707672,0.3207475244998932,,
0.45125,12800,,,,,,3.5923789501190186,99,1.0,0.001,0.22456252574920654,0.6498920321464539,0.3181115984916687,-5.830209999999999,12.8
0.45125,12800,-7.009204069999999,100,0,9.72,27823,,,,,,,,,
0.45125,12928,-6.930075649999999,101,0,9.62,27894,3.3514719247817992,100,1.0,0.001,0.17854082584381104,0.5126020908355713,0.2946762144565582,,
0.45125,13056,-6.828138499999999,102,0,9.78,27966,2.9260223388671873,101,1.0,0.001,0.3823937177658081,0.5884968042373657,0.17679166793823242,,
0.45125,13184,-6.664048450000001,103,0,9.61,28043,2.1701661109924317,102,1.0,0.001,0.3073820471763611,0.6501212120056152,0.1601734757423401,,
0.45125,13312,,,,,,1.841227126121521,103,1.0,0.001,0.21903163194656372,0.6918825507164001,0.48671257495880127,-5.898031399999999,13.2
0.45125,13312,-6.497629080000001,104,0,9.48,28160,,,,,,,,,
0.45125,13440,-6.424630490000002,105,0,9.54,28241,2.290820527076721,104,1.0,0.001,0.3011460304260254,0.6732166111469269,0.11171842366456985,,
0.45125,13568,-6.37447621,106,0,9.82,28322,2.0766042947769163,105,1.0,0.001,0.2639234662055969,0.7331848442554474,0.19082669913768768,,
0.45125,13696,-6.206135069999998,107,0,10.05,28400,2.285312223434448,106,1.0,0.001,0.33409208059310913,0.6825944185256958,0.33087944984436035,,
0.45125,13824,,,,,,2.0938944101333616,107,1.0,0.001,0.4256242513656616,0.7174452543258667,0.47487086057662964,-5.500586800000001,11.8
0.45125,13824,-6.103185299999999,108,0,10.45,28526,,,,,,,,,
0.45125,13952,-6.002936019999998,109,0,10.35,28612,2.124837875366211,108,1.0,0.001,0.4782649278640747,0.7537485510110855,0.1824374496936798,,
0.45125,14080,-5.97461199,110,0,10.41,28684,2.548441219329834,109,1.0,0.001,0.33881235122680664,0.696718841791153,0.19606217741966248,,
