time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/loss,train/clip_fraction,train/n_updates,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,train/explained_variance,eval/mean_ep_length,eval/mean_reward
55552,0,-182.25575158,399.48,131215,434,614.0903930664062,0.00546875,4330,920.5481628417969,-0.001171026472002268,0.0003,0.2,-0.11173099242150783,0.00113222,0.0,,
55680,0,-182.25575158,399.48,131269,435,367.6363220214844,0.003125,4340,902.6321166992187,-0.0024291714653372765,0.0003,0.2,-0.10749493315815925,0.00075626094,0.0,,
55808,,,,,,12.00252914428711,0.00390625,4350,26.485692977905273,-0.0012827638071030377,0.0003,0.2,-0.0916809644550085,0.0007568621,0.0,400.0,-181.61862719999996
55808,0,-182.25575158,399.48,132185,436,,,,,,,,,,,,
55936,0,-182.25575158,399.48,132239,437,10.860770225524902,0.00546875,4360,24.724691295623778,-0.00252183205448091,0.0003,0.2,-0.0931375663727522,0.0018898663,0.0,,
56064,0,-182.25575158,399.48,132295,438,11.61349868774414,0.0046875,4370,24.535740280151366,-0.0009922465309500695,0.0003,0.2,-0.09532976262271405,0.0005457178,1.1920928955078125e-07,,
56192,0,-182.25575158,399.48,132349,439,10.963380813598633,0.00546875,4380,24.511683845520018,-0.0015461440198123455,0.0003,0.2,-0.09417617917060853,0.0009670248,1.1920928955078125e-07,,
56320,,,,,,10.677541732788086,0.0,4390,24.5095253944397,3.3527612686157227e-08,0.0003,0.2,-0.09310974925756454,0.0,1.1920928955078125e-07,400.0,-181.885789
56320,0,-182.25575158,399.48,133301,440,,,,,,,,,,,,
56448,0,-182.23020355999998,399.48,133356,441,11.360877990722656,0.003125,4400,25.03691358566284,-0.0010008141864091158,0.0003,0.2,-0.09403592124581336,0.00045705913,-1.1920928955078125e-07,,
56576,0,-182.23020355999998,399.48,133411,442,368.37548828125,0.003125,4410,976.8412887573243,-0.002777878940105438,0.0003,0.2,-0.1149370439350605,0.00041582156,0.0,,
56704,0,-182.23020355999998,399.48,133468,443,12.446796417236328,0.00390625,4420,26.21870622634888,-0.0008815743029117584,0.0003,0.2,-0.10309531576931477,0.0005955142,-1.1920928955078125e-07,,
56832,,,,,,12.598438262939453,0.0078125,4430,24.697390651702882,-0.0017452434170991183,0.0003,0.2,-0.10440987758338452,0.0011593485,0.0,400.0,-181.94415580000003
56832,0,-182.22395004,399.45,134373,444,,,,,,,,,,,,
56960,0,-182.22395004,399.45,134428,445,479.8498229980469,0.0,4440,968.3062591552734,-4.005152732133865e-06,0.0003,0.2,-0.12000721730291844,3.585592e-08,0.0,,
57088,0,-182.19840601999996,399.45,134482,446,13.530045509338379,0.0046875,4450,26.329143810272218,-0.002737162634730339,0.0003,0.2,-0.1055251058191061,0.00071725296,-9.5367431640625e-07,,
57216,0,-182.18820207999997,399.45,134537,447,222.43980407714844,0.00546875,4460,403.2233527183533,-0.0003598482348024845,0.0003,0.2,-0.12577959038317205,0.0009987787,-1.1920928955078125e-07,,
57344,,,,,,212.77703857421875,0.00546875,4470,325.09747819900514,-0.00024811374023556707,0.0003,0.2,-0.12242144718766212,0.0006283056,0.0,400.0,-181.4749006
57344,0,-182.18820207999997,399.45,135497,448,,,,,,,,,,,,
57472,0,-182.18820207999997,399.45,135559,449,11.622499465942383,0.003125,4480,24.71360502243042,-0.0011547372676432132,0.0003,0.2,-0.10229303762316704,0.0005974551,0.0,,
57600,0,-182.18820207999997,399.45,135619,450,10.882585525512695,0.00078125,4490,24.53252410888672,-0.0013259971048682929,0.0003,0.2,-0.09468709528446198,0.00030043628,-1.1920928955078125e-07,,
57728,0,-182.18820207999997,399.45,135680,451,11.31986141204834,0.00390625,4500,24.51257963180542,-0.0006248522666282951,0.0003,0.2,-0.0873522475361824,0.00065184897,1.1920928955078125e-07,,
57856,,,,,,11.801800727844238,0.003125,4510,24.50954637527466,-0.0012879997957497835,0.0003,0.2,-0.08529821410775185,0.0005905791,0.0,400.0,-181.9423448
57856,0,-182.18820207999997,399.45,136690,452,,,,,,,,,,,,
