time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/kl_divergence_loss,train/policy_objective,train/is_line_search_success,train/learning_rate,train/value_loss,train/n_updates,train/explained_variance,eval/mean_ep_length,eval/mean_reward
44626,-6.920967720000002,0,127,3.96,16256,0.19092923402786255,0.14423492550849915,1.0,0.001,8.204593849182128,126,0.2811523675918579,,
,,,,,16384,0.14152061939239502,0.14829683303833008,1.0,0.001,5.347142601013184,127,0.4360157251358032,41.2,-16.4412568
45369,-7.010299220000002,0,128,4.25,16384,,,,,,,,,
45656,-6.80017413,0,129,4.53,16512,0.2351909726858139,0.1940590888261795,1.0,0.001,8.704019546508789,128,0.1124577522277832,,
45944,-7.321841549999999,0,130,4.6,16640,0.3088544011116028,0.01794448494911194,1.0,0.001,7.672042751312256,129,0.23981201648712158,,
46234,-7.328772650000001,0,131,3.54,16768,0.12111411243677139,0.17496496438980103,1.0,0.001,7.695924997329712,130,0.3914572596549988,,
,,,,,16896,0.1869843304157257,0.08789011090993881,1.0,0.001,4.749600648880005,131,0.5267040431499481,2.6,-6.2100346
46546,-6.50080767,0,132,2.79,16896,,,,,,,,,
46838,-6.20990345,0,133,2.76,17024,0.22395262122154236,0.06504477560520172,1.0,0.001,3.9417156457901,132,0.5555838644504547,,
47125,-6.049332710000001,0,134,2.73,17152,0.08406826853752136,0.041891105473041534,1.0,0.001,5.762504386901855,133,0.31291282176971436,,
47417,-6.69441246,0,135,4.33,17280,0.379156231880188,0.019079050049185753,1.0,0.001,12.889631462097167,134,-0.06937730312347412,,
,,,,,17408,0.22382225096225739,0.08215927332639694,1.0,0.001,7.152304172515869,135,0.41203194856643677,2.8,-6.536357
47735,-6.480945330000001,0,136,4.28,17408,,,,,,,,,
48018,-6.542320660000001,0,137,3.38,17536,0.37364625930786133,0.07053081691265106,1.0,0.001,11.242293548583984,136,0.10095745325088501,,
48308,-6.6265538500000005,0,138,3.54,17664,0.3202320337295532,0.21494272351264954,1.0,0.001,6.538346624374389,137,0.40569764375686646,,
48596,-7.08454134,0,139,3.48,17792,0.28682398796081543,0.1761626899242401,1.0,0.001,18.38957271575928,138,0.3019222617149353,,
,,,,,17920,0.11441357433795929,0.2116454839706421,1.0,0.001,6.793117332458496,139,0.4039573669433594,2.6,-4.860303
48912,-6.76086948,0,140,3.54,17920,,,,,,,,,
49203,-6.403576040000002,0,141,3.43,18048,0.00393268745392561,0.010305095463991165,1.0,0.001,4.058776044845581,140,0.5847019553184509,,
49489,-6.396267,0,142,3.88,18176,0.3173784017562866,0.028026370331645012,1.0,0.001,3.7846874475479124,141,0.44173479080200195,,
49777,-6.39103845,0,143,3.89,18304,0.2586025893688202,0.1168067455291748,1.0,0.001,5.879239654541015,142,0.3743572235107422,,
,,,,,18432,0.0,-2.2351741790771484e-08,0.0,0.001,4.748004031181336,143,0.14172571897506714,2.8,-6.5371432
50096,-6.63284992,0,144,5.17,18432,,,,,,,,,
50381,-7.1358716499999995,0,145,6.87,18560,0.1908116638660431,0.001166757196187973,1.0,0.001,3.459250736236572,144,0.016706883907318115,,
50668,-7.853863099999999,0,146,7.46,18688,0.44360294938087463,0.26014888286590576,1.0,0.001,13.067660522460937,145,0.10758328437805176,,
50964,-7.803607939999999,0,147,6.66,18816,0.424487829208374,0.16455847024917603,1.0,0.001,12.885279273986816,146,0.20972269773483276,,
,,,,,18944,0.10810151696205139,0.11119605600833893,1.0,0.001,6.51281247138977,147,0.46694129705429077,2.4,-4.701526799999999
51277,-6.123085509999999,0,148,2.82,18944,,,,,,,,,
51565,-5.7324036299999985,0,149,2.72,19072,0.03835873305797577,0.005853261798620224,1.0,0.001,3.6779930114746096,148,0.619480699300766,,
51851,-6.0947863799999995,0,150,2.82,19200,0.3485746383666992,0.009401185438036919,1.0,0.001,3.3641480445861816,149,0.5447052419185638,,
52138,-6.32968386,0,151,2.73,19328,0.03997238352894783,0.0485992431640625,1.0,0.001,4.447544431686401,150,0.5126002132892609,,
,,,,,19456,0.11370193958282471,0.012750239111483097,1.0,0.001,3.829573917388916,151,0.5620786249637604,3.0,-7.0868816
52454,-6.4065248299999995,0,152,2.74,19456,,,,,,,,,
52740,-6.128950239999999,0,153,2.72,19584,0.29111918807029724,0.22101391851902008,1.0,0.001,7.972147035598755,152,0.2383817434310913,,
53025,-6.479853490000002,0,154,4.29,19712,0.4250309467315674,0.024560151621699333,1.0,0.001,10.16442174911499,153,-0.09247219562530518,,
53311,-6.353805239999999,0,155,4.37,19840,0.016604231670498848,0.03680058568716049,1.0,0.001,8.097228765487671,154,0.3604391813278198,,
,,,,,19968,0.006685291416943073,0.014770915731787682,1.0,0.001,4.969260168075562,155,0.5576731264591217,15.8,-7.050125600000001
53781,-6.182099799999999,0,156,2.94,19968,,,,,,,,,
54064,-6.12546478,0,157,2.9,20096,0.07272416353225708,0.10159710049629211,1.0,0.001,3.2190534353256224,156,0.6334580481052399,,
54351,-6.124504179999999,0,158,2.9,20224,0.41524747014045715,0.12375399470329285,1.0,0.001,3.019007158279419,157,0.6106038093566895,,
54641,-6.419704509999999,0,159,3.32,20352,0.24609783291816711,0.06071600317955017,1.0,0.001,8.205715227127076,158,0.1718541979789734,,
,,,,,20480,0.2855181097984314,0.0632845088839531,1.0,0.001,3.09302077293396,159,0.3651805520057678,2.4,-5.1019955999999995
54962,-6.753860340000001,0,160,5.55,20480,,,,,,,,,
55257,-7.153277589999999,0,161,6.04,20608,0.36201661825180054,0.14003697037696838,1.0,0.001,7.132433748245239,160,0.4239806532859802,,
55541,-7.236989810000001,0,162,5.79,20736,0.11886715888977051,0.038647763431072235,1.0,0.001,5.88249397277832,161,0.44226622581481934,,
55829,-6.553518800000001,0,163,3.11,20864,0.1994706690311432,0.20847035944461823,1.0,0.001,3.9076684713363647,162,0.6048150360584259,,
,,,,,20992,0.1418808400630951,0.07478500157594681,1.0,0.001,2.481705665588379,163,0.6821871101856232,2.8,-6.5016061999999994
56148,-6.220019150000001,0,164,2.95,20992,,,,,,,,,
56431,-6.26938344,0,165,3.59,21120,0.05029800534248352,0.013055437244474888,1.0,0.001,2.9100480556488035,164,0.4525226354598999,,
56723,-6.610411989999998,0,166,4.86,21248,0.04093547910451889,0.03133554756641388,1.0,0.001,7.082198810577393,165,0.5813296139240265,,
57007,-6.21660529,0,167,5.3,21376,0.04516905918717384,0.004548747092485428,1.0,0.001,7.373170566558838,166,0.5090639889240265,,
,,,,,21504,0.18875418603420258,0.07139451801776886,1.0,0.001,12.701987361907959,167,0.42285627126693726,2.6,-6.623033000000001
57322,-6.717932629999999,0,168,6.76,21504,,,,,,,,,
57610,-6.855811999999999,0,169,7.34,21632,0.3877105116844177,0.07951957732439041,1.0,0.001,6.580889749526977,168,0.3574681878089905,,
57898,-7.135826089999999,0,170,7.54,21760,0.26266559958457947,0.088370680809021,1.0,0.001,5.096048069000244,169,0.4079877734184265,,
58185,-6.408807199999999,0,171,4.31,21888,0.12504467368125916,0.06116355210542679,1.0,0.001,4.299512553215027,170,0.5122344791889191,,
,,,,,22016,0.25719285011291504,0.11472883820533752,1.0,0.001,3.0311031341552734,171,0.6225520372390747,15.6,-7.7118991999999995
58647,-6.4859083,0,172,3.55,22016,,,,,,,,,
58933,-6.281684680000001,0,173,3.4,22144,0.13726204633712769,0.10077828168869019,1.0,0.001,2.711843729019165,172,0.6377914845943451,,
